Starting with options: 
Times: 1
Debug: 0
Too big: 1

DATASET: celegansneural	TIME: 385us
DATASET: foldoc	TIME: 3099us
DATASET: language	TIME: 44028us
DATASET: eu-2005	TIME: 327257us
DATASET: wiki-topcats	TIME: 3062255us
DATASET: sx-stackoverflow	TIME: 1310731us
DATASET: wb-edu	TIME: 24606245us
DATASET: indochina-2004	TIME: 21082211us
DATASET: uk-2002	TIME: 20208730us
DATASET: arabic-2005	TIME: 18311773us
DATASET: uk-2005	TIME: 99837427us
