Starting with options: 
Times: 1
Debug: 0
Too big: 1

DATASET: celegansneural	TIME: 343us
DATASET: foldoc	TIME: 3040us
DATASET: language	TIME: 110778us
DATASET: eu-2005	TIME: 538219us
DATASET: wiki-topcats	TIME: 7280336us
DATASET: sx-stackoverflow	TIME: 1513103us
DATASET: wb-edu	TIME: 66385813us
DATASET: indochina-2004	TIME: 25345287us
DATASET: uk-2002	TIME: 48634293us
DATASET: arabic-2005	TIME: 38180796us
DATASET: uk-2005	TIME: 162609954us
