Starting with options: 
Times: 2
Debug: 0
Too big: 1

DATASET: celegansneural	TIME: 44us
DATASET: foldoc	TIME: 2145us
DATASET: language	TIME: 70737us
DATASET: eu-2005	TIME: 352524us
DATASET: wiki-topcats	TIME: 4111541us
DATASET: sx-stackoverflow	TIME: 1160127us
DATASET: wb-edu	TIME: 38704617us
DATASET: indochina-2004	TIME: 15859874us
DATASET: uk-2002	TIME: 32166042us
DATASET: arabic-2005	TIME: 24388656us
DATASET: uk-2005	TIME: 121353914us
DATASET: twitter7   TIME: 204982678us
