Starting with options: 
Times: 1
Debug: 0
Too big: 1

DATASET: celegansneural	TIME: 267us
DATASET: foldoc	TIME: 1823us
DATASET: language	TIME: 63174us
DATASET: eu-2005	TIME: 240127us
DATASET: wiki-topcats	TIME: 1895079us
DATASET: sx-stackoverflow	TIME: 817036us
DATASET: wb-edu	TIME: 17783950us
DATASET: indochina-2004	TIME: 9708991us
DATASET: uk-2002	TIME: 17359697us
DATASET: arabic-2005	TIME: 13200583us
DATASET: uk-2005	TIME: 71401058us
DATASET: twitter7	TIME: 121747573us

---END---
