Starting with options: 
Times: 1
Debug: 0
Too big: 1

DATASET: celegansneural	TIME: 103us
DATASET: foldoc	TIME: 3061us
DATASET: language	TIME: 90897us
DATASET: eu-2005	TIME: 542263us
DATASET: wiki-topcats	TIME: 11005793us
DATASET: sx-stackoverflow	TIME: 2827145us
DATASET: wb-edu	TIME: 72158494us
DATASET: indochina-2004	TIME: 24999468us
DATASET: uk-2002	TIME: 53447804us
DATASET: arabic-2005	TIME: 41647754us
DATASET: uk-2005	TIME: 181215114us
